Slovak,Ukrainian
humor,гумор
použila,вона використовувала
hýb,рухатися
spomenula,вона згадала
držíš,ви тримаєте
živé,живий
kruh,коло
najlepším,найкращий
masku,маска
naučili,вони навчилися
akýkoľvek,будь-який
now,тепер
whisky,віскі
chytrý,розумний
obrovskú,величезний
vystúpenie,продуктивність
bývaš,ти живеш
opatrní,обережний
pochopili,вони зрозуміли
žehnaj,благословляти
zakázané,заборонено
jar,Весна
vtáky,птахів
oddýchnuť,відпочивати
učiteľka,викладач
klientov,клієнтів
zoberieme,ми візьмемо
putá,наручники
tretie,третій
rakovina,рак
hrob,могила
vonia,це пахне
vrážd,вбивство
turné,тур
skúšku,екзамен
nina,Ніна
necítil,не відчував
mužmi,чоловіки
strávili,витрачено
zničené,зруйновано
vincent,Вінсент
presný,точні
dovolením,залишити
posral,облажався
vyhlásenie,заява
každých,кожен
necháte,ви йдете
tvrdil,він стверджував
troma,три
pýtate,ви запитаєте
nepoznal,він не знав
ve,в
najbližšie,найближчий
všetkej,все
postaráme,ми подбаємо
divadlo,театр
prial,він побажав
miestom,місце
dost,досить
randy,дати
lekára,лікар
kontrola,КОНТРОЛЬ
kníh,книги
ruby,рубін
známa,відомий
sneh,сніг
bývala,колись був
uisťujem,Я вас запевняю
takze,так
skončím,я закінчу
čin,діяти
lucifer,люцифер
tisícky,тисячі
najavo,відкрито
nohe,ноги
starým,старий
priveď,принести
sexu,секс
podnik,бізнес
vlny,хвилі
choré,хворий
banka,банку
bodov,балів
zničená,зруйновано
samú,поодинці
svetom,світ
nestretol,не зустрічав
rastie,зростає
starom,старий
vyrastal,виріс
nepáčilo,не сподобалось
ignorovať,ігнорувати
trpieť,страждати
národ,нація
ježiša,Ісус
obrázky,фотографії
ľahnúť,лягти
šikovný,розумний
taxi,таксі
vybavenie,обладнання
veríme,ми віримо
vpredu,попереду
identifikovať,ідентифікувати
systémy,системи
kolega,колега
kelu,листова капуста
kufor,валіза
vraciam,Я повертаюся
sledujú,вони спостерігають
zachráň,зберегти
was,був
povrch,поверхні
prípadov,випадків
bitky,битви
výške,висота
utrpenie,страждання
dospelý,дорослий
zábery,постріли
históriu,історії
stale,постійно
zaslúžil,він це заслужив
ross,рос
žijete,ти живеш
stromu,дерево
štvrť,квартал
uniesol,викрадений
agentov,агентів
šálku,чашка
pomôžete,ти допоможеш
slobodná,неодружений
odvoz,забрати
ohňa,вогню
peňaženku,гаманець
kašli,вони кашляли
pokrok,прогрес
romantické,романтичний
neuvidím,Я не побачу
pozeráte,ти дивишся
pasce,пастка
obom,вони обидва
hotovosť,готівкою
when,коли
alexander,Олександр
uzavrieť,закрити
ostala,вона залишилася
skúšky,іспити
študentov,студентів
policajný,поліція
nezastaví,не зупиниться
predáva,продає
pohotovosti,надзвичайні ситуації
leslie,ліси
systéme,система
voľby,вибори
dvanásť,дванадцять
znak,знак
padol,впав
výstrel,постріл
nepodarí,не вдасться
woo,вау
neznie,це не звучить
udrieť,вдарити
nesmiete,ви не повинні
sklo,скло
opak,навпаки
teóriu,теорія
opitá,п'яний
priezvisko,прізвище
zmrd,лайно
šalát,салат
jednoduchý,простий
zvedavá,допитливий
choroby,хвороби
prežila,вона вижила
volajte,дзвінок
gps,gps
ľud,народ
predstavil,введено
tučný,жиру
čaju,чай
zoznamu,список
kostým,костюм
znieť,звучати
upír,вампір
príležitosti,можливості
šoku,шок
štít,щит
menšie,менше
malí,маленький
prístroj,пристрій
choi,чой
pozerali,спостерігали
platím,Я плачу
modrý,блакитний
prejdeme,ми пройдемо
vyjadriť,експрес
vstúpte,введіть
dúfať,сподіватися
bacha,стережіться
plat,зарплата
ji,її
